term_id,term,chosen_mid,chosen_title,chosen_type,alternatives
us_pres_election,united states presidential election,/m/07wcy,United States presidential election,Topic,"/g/11mvpmjhzl=2024 United States presidential election (Topic) | /g/11t8464f03=2028 United States presidential election (Topic) | /g/11bwkdng8p=United States Presidential election, 2020 (Topic) | /g/11kc1xmmrh=Nationwide opinion polling for the 2024 United States presidential election (Topic)"
early_voting,early voting,,,LOOKUP FAILED,
nominee_dem,barack obama,,,LOOKUP FAILED,
nominee_rep,mitt romney,,,LOOKUP FAILED,
nominee_dem,hillary clinton,,,LOOKUP FAILED,
nominee_rep,donald trump,,,LOOKUP FAILED,
nominee_dem,joe biden,,,LOOKUP FAILED,
nominee_dem,kamala harris,,,LOOKUP FAILED,
