Category: All categories

Region,where to vote: (8/5/20 - 11/3/20)
Texas,100
Minnesota,83
North Dakota,82
Indiana,79
South Carolina,77
Arkansas,70
Virginia,68
Wyoming,67
Idaho,66
North Carolina,65
South Dakota,65
Arizona,65
Iowa,64
Tennessee,64
Florida,62
Georgia,62
Ohio,62
Rhode Island,62
Illinois,61
Kansas,59
Kentucky,59
New Mexico,59
Alaska,58
Wisconsin,57
Oklahoma,56
Mississippi,54
Alabama,51
Louisiana,51
New York,50
Pennsylvania,50
Nevada,49
Missouri,49
Michigan,49
Delaware,48
West Virginia,47
Nebraska,46
Massachusetts,45
Maryland,45
Utah,45
New Hampshire,45
Connecticut,45
Maine,44
Montana,44
District of Columbia,42
New Jersey,35
Colorado,34
California,33
Washington,29
Vermont,28
Oregon,28
Hawaii,27
