Category: All categories

Region,polling place: (8/10/16 - 11/8/16)
Arizona,100
California,91
Rhode Island,85
Minnesota,85
Delaware,84
District of Columbia,76
Nebraska,71
Iowa,66
Illinois,65
New York,64
Pennsylvania,63
Oklahoma,61
Indiana,57
Alaska,56
Missouri,56
Maryland,51
Idaho,50
Wisconsin,47
Virginia,47
Alabama,46
Hawaii,43
Georgia,42
Montana,40
North Dakota,39
North Carolina,39
Utah,38
Wyoming,37
Nevada,37
Vermont,37
Maine,37
Kentucky,36
Colorado,35
Ohio,34
Connecticut,34
South Dakota,34
New Hampshire,33
Michigan,32
Kansas,32
West Virginia,32
South Carolina,31
Massachusetts,30
Texas,29
Louisiana,29
New Jersey,28
Florida,25
Arkansas,22
New Mexico,20
Tennessee,19
Mississippi,19
Washington,13
Oregon,10
