Category: All categories

Region,register to vote: (8/8/12 - 11/6/12)
Nevada,100
Utah,95
Colorado,85
Wyoming,83
Idaho,83
Alabama,79
California,75
Kansas,74
Ohio,73
New Hampshire,69
New York,67
Delaware,66
Georgia,65
Connecticut,65
New Jersey,64
Illinois,64
Vermont,63
Massachusetts,63
Pennsylvania,62
Texas,62
Virginia,61
Montana,61
Nebraska,60
North Carolina,60
Iowa,60
Indiana,59
South Carolina,59
Arkansas,59
Maryland,58
Oklahoma,58
District of Columbia,57
Louisiana,57
Florida,56
Minnesota,56
New Mexico,54
Mississippi,53
Missouri,51
Oregon,51
South Dakota,51
Hawaii,50
Tennessee,50
Rhode Island,50
Kentucky,49
Arizona,47
Maine,46
Wisconsin,46
Washington,45
Michigan,42
West Virginia,40
Alaska,34
North Dakota,33
