Category: All categories

Region,electoral college: (8/8/12 - 11/6/12)
Kansas,100
Arkansas,96
Utah,95
Wyoming,93
Montana,92
Alabama,92
Maine,91
Kentucky,91
New Mexico,91
Vermont,90
New Hampshire,85
Virginia,85
Idaho,84
Indiana,82
West Virginia,82
Iowa,81
North Carolina,81
Tennessee,80
Nebraska,79
Mississippi,78
Nevada,77
Delaware,77
Alaska,76
Rhode Island,76
Ohio,75
Connecticut,74
South Dakota,74
District of Columbia,72
Florida,72
Colorado,71
Louisiana,70
North Dakota,70
South Carolina,70
Massachusetts,70
Oklahoma,70
Washington,69
Oregon,69
Maryland,68
Illinois,67
Wisconsin,67
Texas,66
Arizona,64
Pennsylvania,64
Missouri,63
Georgia,63
Minnesota,63
New York,60
New Jersey,58
California,57
Michigan,54
Hawaii,51
