Category: All categories

Region,vote by mail: (8/8/12 - 11/6/12)
California,100
Utah,91
Oregon,70
New Jersey,67
Florida,51
Washington,44
Colorado,41
Arizona,39
Iowa,38
Nebraska,30
District of Columbia,30
Nevada,29
Kansas,29
Hawaii,27
Texas,27
Ohio,26
South Carolina,25
Oklahoma,22
Maryland,19
Illinois,17
North Carolina,17
New York,17
Louisiana,15
Massachusetts,13
Tennessee,13
Pennsylvania,13
Georgia,11
Missouri,11
Virginia,11
Wisconsin,11
Minnesota,11
Connecticut,10
Michigan,10
