Category: All categories

Region,presidential debate: (8/10/16 - 11/8/16)
Vermont,100
Washington,100
District of Columbia,90
Wyoming,89
Colorado,88
Montana,87
Nevada,85
Minnesota,85
Oregon,84
Massachusetts,82
Missouri,82
Alaska,82
Utah,81
Connecticut,80
Maine,80
California,80
Pennsylvania,79
Virginia,78
New York,78
Maryland,76
Idaho,74
New Jersey,74
Ohio,74
Arizona,74
North Dakota,74
Illinois,74
Indiana,73
Arkansas,73
Michigan,73
North Carolina,73
Iowa,72
Wisconsin,71
South Dakota,70
Kentucky,70
New Hampshire,69
Rhode Island,67
Oklahoma,67
Nebraska,67
New Mexico,67
Delaware,66
Kansas,66
Florida,66
Tennessee,64
Hawaii,64
Alabama,64
Texas,62
Louisiana,60
Georgia,59
West Virginia,59
South Carolina,57
Mississippi,50
