Category: All categories

Region,presidential debate: (8/5/20 - 11/3/20)
Utah,100
Vermont,99
Oregon,95
Wyoming,92
District of Columbia,92
Minnesota,91
Washington,89
Colorado,88
Maine,86
Wisconsin,86
Idaho,85
Massachusetts,84
Montana,84
Connecticut,83
Pennsylvania,83
Alaska,83
Ohio,82
Nebraska,82
Virginia,82
Kansas,82
North Dakota,82
Iowa,78
Michigan,77
New Hampshire,76
Tennessee,76
Missouri,75
Maryland,74
South Dakota,73
Indiana,73
Illinois,72
California,72
Arizona,70
New Jersey,70
Delaware,70
Florida,70
Nevada,67
North Carolina,67
Rhode Island,67
New York,66
Alabama,65
West Virginia,64
New Mexico,63
Arkansas,63
Kentucky,62
Oklahoma,61
Texas,61
Louisiana,61
Georgia,59
Hawaii,59
South Carolina,54
Mississippi,46
