Category: All categories

Region,mike pence: (8/5/20 - 11/3/20)
District of Columbia,100
Vermont,77
Maine,76
Massachusetts,73
Minnesota,71
New Hampshire,70
Connecticut,69
Wisconsin,69
Washington,67
Pennsylvania,67
Oregon,67
Illinois,65
Virginia,63
Indiana,63
Rhode Island,62
Ohio,61
Maryland,61
Michigan,61
California,60
Arizona,60
New Jersey,60
Delaware,58
Florida,58
Colorado,57
Montana,56
New York,56
North Carolina,55
Missouri,54
Alaska,52
Nebraska,51
South Carolina,51
Idaho,50
Hawaii,50
Wyoming,49
Iowa,49
South Dakota,49
New Mexico,48
Utah,48
Nevada,47
Tennessee,47
North Dakota,47
Georgia,46
Kansas,46
Texas,46
West Virginia,44
Arkansas,41
Oklahoma,39
Alabama,39
Kentucky,39
Louisiana,34
Mississippi,34
