Category: All categories

Region,presidential candidates: (8/7/24 - 11/5/24)
Utah,100
Alaska,96
Maine,93
Vermont,93
Wisconsin,92
Iowa,92
New Hampshire,92
North Dakota,92
Idaho,91
Kansas,90
Nebraska,89
Oklahoma,89
Michigan,86
Minnesota,85
New Mexico,85
Indiana,84
South Dakota,84
North Carolina,83
Arkansas,82
Delaware,81
Ohio,80
Mississippi,79
Missouri,79
Tennessee,77
West Virginia,77
Pennsylvania,77
Louisiana,74
Georgia,74
Montana,73
South Carolina,72
Virginia,72
District of Columbia,72
Alabama,71
Hawaii,70
Colorado,69
Arizona,69
Illinois,68
Wyoming,68
Kentucky,67
Maryland,67
Connecticut,66
Texas,66
Oregon,64
Massachusetts,63
Nevada,63
Washington,56
New Jersey,55
Rhode Island,53
California,52
Florida,52
New York,48
