Category: All categories

Region,presidential candidates: (8/5/20 - 11/3/20)
Maine,100
Idaho,100
Minnesota,94
Utah,92
Kansas,90
Arkansas,86
Alaska,82
North Dakota,80
South Dakota,79
Wyoming,79
Nebraska,79
Wisconsin,77
Iowa,77
Colorado,75
Indiana,72
Oklahoma,71
West Virginia,70
Delaware,68
Hawaii,67
Missouri,67
Vermont,67
Michigan,66
Montana,66
Tennessee,65
Ohio,65
Louisiana,64
New Hampshire,64
South Carolina,63
Virginia,63
Arizona,62
New Mexico,62
Nevada,61
Kentucky,60
Connecticut,60
Mississippi,60
Washington,59
Pennsylvania,59
Texas,59
North Carolina,58
Massachusetts,57
Oregon,57
Rhode Island,57
District of Columbia,56
Alabama,55
Illinois,55
Georgia,53
Maryland,52
Florida,50
California,48
New Jersey,45
New York,41
