Category: All categories

Region,presidential candidates: (8/8/12 - 11/6/12)
North Dakota,100
South Dakota,99
Vermont,93
Kentucky,92
Kansas,92
Iowa,90
Ohio,89
Indiana,89
Nebraska,88
Maine,87
Idaho,86
Arkansas,86
Minnesota,85
Wyoming,84
Louisiana,84
New Mexico,83
Virginia,79
Montana,78
Colorado,77
Tennessee,75
Missouri,75
Alabama,74
South Carolina,74
Oklahoma,72
Wisconsin,72
Mississippi,72
West Virginia,71
Alaska,71
Rhode Island,66
Delaware,66
New Hampshire,65
Pennsylvania,63
Michigan,63
Connecticut,63
New Jersey,62
North Carolina,60
Maryland,58
Nevada,57
Arizona,55
Massachusetts,54
Utah,54
Illinois,53
Florida,53
Oregon,52
Texas,50
Washington,50
District of Columbia,49
Hawaii,49
Georgia,48
California,43
New York,43
