Category: All categories

Region,donald trump: (8/7/24 - 11/5/24)
Pennsylvania,100
District of Columbia,97
Maine,97
Wisconsin,96
Vermont,92
New Hampshire,91
Michigan,89
Montana,86
Minnesota,85
Arizona,85
Connecticut,85
Rhode Island,81
Colorado,81
Delaware,81
Oregon,81
New Jersey,80
North Carolina,80
New Mexico,79
Washington,78
Massachusetts,78
Nevada,78
Ohio,77
Florida,77
West Virginia,74
New York,74
Missouri,73
Iowa,73
North Dakota,73
Kentucky,73
Idaho,73
Maryland,72
Illinois,71
Kansas,70
Indiana,70
Virginia,69
Nebraska,68
Tennessee,68
South Carolina,68
Wyoming,68
Alaska,68
Utah,66
South Dakota,65
Georgia,65
Arkansas,64
Alabama,63
Oklahoma,63
California,62
Hawaii,62
Louisiana,57
Texas,56
Mississippi,51
