Category: All categories

Region,vice presidential debate: (8/8/12 - 11/6/12)
Kentucky,100
Utah,95
Vermont,91
Montana,90
Oregon,83
Idaho,82
District of Columbia,81
Alaska,76
Delaware,76
Wyoming,75
Rhode Island,74
Maine,74
Virginia,71
Colorado,70
Maryland,68
Minnesota,67
New York,67
Wisconsin,66
Washington,65
Connecticut,65
Kansas,64
Nebraska,64
New Mexico,63
Iowa,63
South Dakota,63
Missouri,62
Arizona,62
Oklahoma,61
California,61
Tennessee,61
Indiana,60
Arkansas,59
Alabama,59
Nevada,59
Massachusetts,58
South Carolina,58
Ohio,58
North Dakota,57
North Carolina,57
New Hampshire,56
Pennsylvania,56
New Jersey,56
Mississippi,54
West Virginia,54
Michigan,53
Illinois,53
Louisiana,52
Texas,52
Florida,52
Georgia,51
Hawaii,49
