Category: All categories

Region,vice presidential debate: (8/10/16 - 11/8/16)
Vermont,100
District of Columbia,83
Virginia,73
Montana,67
Maine,66
Massachusetts,62
Rhode Island,62
Connecticut,61
Wyoming,61
Washington,61
Indiana,59
Minnesota,59
Iowa,58
Oregon,57
Idaho,57
Maryland,56
New York,55
Missouri,54
Nebraska,54
Pennsylvania,53
Colorado,53
New Jersey,53
Alaska,51
Ohio,51
California,51
Michigan,50
Oklahoma,49
Kentucky,49
Delaware,49
Wisconsin,49
Utah,48
Kansas,47
Arkansas,47
Illinois,47
Alabama,46
New Mexico,45
Tennessee,45
Arizona,45
Nevada,44
North Carolina,44
South Dakota,44
Mississippi,44
Hawaii,44
North Dakota,42
New Hampshire,42
Louisiana,41
West Virginia,40
Georgia,38
South Carolina,37
Florida,34
Texas,34
