Category: All categories

Region,electoral college: (8/10/16 - 11/8/16)
West Virginia,100
Maine,98
Wyoming,94
Kansas,87
District of Columbia,87
Vermont,85
Connecticut,83
North Carolina,83
Alaska,82
Alabama,82
New Hampshire,82
Rhode Island,81
Arkansas,80
New York,80
South Dakota,80
Montana,79
North Dakota,79
Missouri,78
Ohio,78
New Jersey,77
Kentucky,76
Oklahoma,76
Delaware,76
Iowa,76
Indiana,76
Minnesota,76
Nebraska,75
Idaho,75
Pennsylvania,75
Washington,74
Virginia,73
Mississippi,72
New Mexico,72
Louisiana,72
Georgia,70
Texas,70
Colorado,70
Florida,68
Maryland,68
Wisconsin,68
Arizona,67
California,66
Tennessee,66
Utah,66
Michigan,66
Hawaii,65
Massachusetts,65
South Carolina,64
Nevada,63
Oregon,63
Illinois,63
