Category: All categories

Region,donald trump: (8/5/20 - 11/3/20)
Pennsylvania,100
Minnesota,98
New Jersey,95
Wisconsin,95
Ohio,95
Rhode Island,94
Michigan,94
New York,91
Connecticut,88
New Hampshire,88
Illinois,88
West Virginia,87
Oregon,86
Massachusetts,86
Arizona,85
Maryland,84
Washington,83
Florida,83
District of Columbia,82
North Carolina,82
Colorado,82
Maine,82
South Carolina,81
Nevada,81
Nebraska,80
Tennessee,80
Delaware,78
Iowa,78
Missouri,78
New Mexico,77
California,77
Virginia,76
Indiana,76
Georgia,75
Kentucky,74
Alabama,74
Vermont,73
South Dakota,73
Kansas,71
Utah,71
Louisiana,70
Mississippi,70
North Dakota,70
Arkansas,70
Texas,69
Idaho,69
Oklahoma,69
Montana,65
Wyoming,64
Alaska,60
Hawaii,58
