Category: All categories

Region,ballot drop box: (8/7/24 - 11/5/24)
Oregon,100
Washington,74
Colorado,70
Utah,69
Hawaii,53
District of Columbia,48
California,46
Arizona,34
Nevada,22
Maryland,18
Pennsylvania,17
Montana,17
Vermont,13
Michigan,13
Massachusetts,11
Idaho,11
Wisconsin,10
Alaska,9
Illinois,8
Georgia,8
Maine,6
Florida,6
Rhode Island,6
New Jersey,6
New Mexico,5
Nebraska,5
Virginia,4
Ohio,4
Kansas,4
Minnesota,4
Iowa,4
Kentucky,4
Connecticut,4
New York,3
North Carolina,2
Indiana,2
South Carolina,1
Missouri,1
Texas,1
Tennessee,1
