Category: All categories

Region,united states presidential election: (8/8/12 - 11/6/12)
Iowa,100
South Dakota,98
Kansas,98
Virginia,98
North Carolina,96
Arkansas,96
Idaho,95
Mississippi,95
Utah,94
Wyoming,93
New Hampshire,92
Vermont,92
Alabama,91
Kentucky,91
Oklahoma,91
Montana,89
New Mexico,88
Ohio,88
New Jersey,87
Massachusetts,87
Alaska,87
Nebraska,86
Nevada,86
Louisiana,86
Tennessee,84
Texas,84
Delaware,84
Maryland,82
Florida,81
Pennsylvania,81
Indiana,81
North Dakota,80
Connecticut,80
Illinois,80
Georgia,80
Maine,80
Colorado,78
Michigan,78
West Virginia,78
Missouri,77
Rhode Island,77
New York,77
Oregon,76
District of Columbia,76
Wisconsin,76
South Carolina,75
Washington,74
Minnesota,73
Arizona,71
California,68
Hawaii,64
