Category: All categories

Region,voter id: (8/10/16 - 11/8/16)
Wisconsin,100
North Carolina,79
District of Columbia,76
Missouri,67
New Hampshire,64
Oklahoma,63
Virginia,61
Alabama,53
Texas,50
Pennsylvania,49
Connecticut,44
Maryland,42
South Carolina,42
Arizona,42
Idaho,42
Minnesota,41
Rhode Island,41
Delaware,40
Kansas,40
Mississippi,40
Arkansas,39
Indiana,39
Georgia,38
Michigan,38
Tennessee,38
New York,37
Illinois,37
Nebraska,36
Ohio,36
Florida,36
Montana,34
Nevada,34
Kentucky,33
Iowa,33
New Mexico,32
Massachusetts,32
New Jersey,31
Louisiana,27
Colorado,26
Maine,26
West Virginia,25
Oregon,25
Washington,24
California,23
Utah,22
Hawaii,17
