Category: All categories

Region,register to vote: (8/10/16 - 11/8/16)
Utah,100
Nevada,83
Wyoming,80
New Jersey,74
Kansas,74
Idaho,74
New Hampshire,73
Minnesota,73
Connecticut,72
Wisconsin,71
Alabama,70
California,70
Colorado,68
Virginia,67
Maine,67
Florida,64
South Dakota,64
Texas,63
Vermont,63
New York,62
Maryland,62
Massachusetts,61
Iowa,60
Montana,60
New Mexico,58
Delaware,57
Georgia,57
Nebraska,57
Hawaii,57
Illinois,56
Tennessee,55
Louisiana,54
Arizona,54
West Virginia,52
North Carolina,52
Oklahoma,52
Pennsylvania,51
Mississippi,51
Missouri,51
Michigan,51
Oregon,49
District of Columbia,49
Arkansas,48
Indiana,47
Ohio,47
South Carolina,46
Rhode Island,46
Washington,46
Kentucky,42
Alaska,41
North Dakota,38
