Category: All categories

Region,early voting: (8/8/12 - 11/6/12)
North Carolina,100
Texas,86
Tennessee,82
Georgia,77
Florida,65
Maryland,63
New Mexico,62
Arkansas,56
District of Columbia,56
Nevada,50
Illinois,45
Ohio,38
Indiana,37
Virginia,35
Wisconsin,34
Utah,34
Iowa,33
Colorado,33
West Virginia,31
Kansas,30
South Carolina,28
Louisiana,26
Oklahoma,25
North Dakota,23
Kentucky,22
Idaho,20
Delaware,20
Alaska,20
Missouri,19
Alabama,19
Arizona,16
Nebraska,16
Minnesota,15
Mississippi,14
Hawaii,13
New York,13
Michigan,12
South Dakota,11
Connecticut,11
Maine,11
New Jersey,10
Pennsylvania,10
New Hampshire,10
Vermont,10
Massachusetts,9
California,9
Rhode Island,8
Wyoming,7
Montana,6
Oregon,5
Washington,5
