STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
Ohio,OH,"4,496,834","4,429,582",https://www.sos.state.oh.us/elections/election-results-and-data/2018-official-elections-results/,"9,092,226",2.54%,"49,932",0,0,"49,932",,"8,811,352",51.03%,49.46%
Oklahoma,OK,"1,190,000","1,186,385",https://www.ok.gov/elections/support/20181106_seb.html,"2,992,026",4.12%,"27,572","23,690","1,780","53,042",,"2,815,712",42.26%,39.77%
Oregon,OR,"1,914,923","1,866,997",https://sos.oregon.gov/voting/Pages/current-election.aspx,"3,325,599",5.53%,"13,795",0,0,"13,795",,"3,127,898",61.22%,57.58%
Pennsylvania,PA,"5,043,029","5,012,555",https://www.electionreturns.pa.gov/,"10,155,993",3.61%,"44,162",0,0,"44,162",,"9,745,199",51.75%,49.66%
Rhode Island,RI,"381,267","376,738",https://www.ri.gov/election/results/2018/general_election/,"853,159",6.75%,"2,767",0,0,"2,767",,"792,803",48.09%,44.69%
South Carolina,SC,"1,726,527","1,707,569",https://www.enr-scvotes.org/SC/92124/Web02-state.220747/#/,"3,997,248",3.29%,"18,613","18,226","4,980","41,819",,"3,823,919",45.15%,43.19%
South Dakota,SD,"341,048","339,214",https://sdsos.gov/elections-voting/election-resources/election-history/2018_Election_History.aspx,"664,037",2.22%,"3,867",0,"3,201","7,068",,"642,227",53.10%,51.36%
Tennessee,TN,"2,267,428","2,243,740",https://sos.tn.gov/products/elections/election-results#2018,"5,281,898",3.48%,"26,120","34,914","10,842","71,876",,"5,026,212",45.11%,42.93%
Texas,TX,"8,375,000","8,371,655",https://elections.sos.state.tx.us/elchist331_state.htm,"21,367,177",12.21%,"154,935","209,855","109,213","474,003",,"18,284,242",45.80%,39.20%
Utah,UT,"1,082,972","1,065,630",https://elections.utah.gov/Media/Default/2018%20Election/2018%20General%20Election%20Canvass.pdf,"2,240,839",5.90%,"6,288",0,0,"6,288",,"2,102,342",51.51%,48.33%
Vermont,VT,"278,230","274,087",https://vtelectionresults.sec.state.vt.us/Index.html#/,"509,304",1.97%,0,0,0,0,,"499,271",55.73%,54.63%
Virginia,VA,"3,363,505","3,351,373",https://results.elections.virginia.gov/vaelections/2018%20November%20General/Site/Congress.html,"6,648,405",6.01%,"35,754","35,973","1,860","73,587",,"6,175,249",54.47%,50.59%
Washington,WA,"3,133,448","3,086,168",https://results.vote.wa.gov/results/current/,"5,894,441",8.80%,"18,787","43,703","12,222","74,712",,"5,301,018",59.11%,53.16%
West Virginia,WV,"597,149","586,034",https://results.enr.clarityelections.com/WV/92360/Web02-state.216038/#/,"1,437,430",0.90%,"6,757","3,758","4,287","14,802",,"1,409,691",42.36%,41.54%
Wisconsin,WI,"2,675,000","2,673,308",https://elections.wi.gov/node/6300,"4,540,190",3.05%,"23,595","24,458","21,015","69,068",,"4,332,646",61.74%,58.92%
Wyoming,WY,"205,275","203,420",https://soswy.state.wy.us/Elections/Docs/2018/2018GeneralResults.aspx,"443,716",2.51%,"2,488","3,068",934,"6,490",,"426,089",48.18%,46.26%
