STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
North Dakota,ND,371975,https://results.sos.nd.gov/Default.aspx?map=Cty,"605,359",3.52%,"1,854",0,0,"1,854",,"582,216",63.89%,61.45%
Ohio,OH,5851387,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/,"9,261,250",2.89%,"46,076",0,0,"46,076",,"8,947,502",65.40%,63.18%
Oklahoma,OK,1575000,https://results.okelections.gov/OKER/?elecDate=20241105,"3,131,836",4.49%,"21,801","21,050","2,330","45,181",,"2,945,902",53.46%,50.29%
Oregon,OR,2308256,https://results.oregonvotes.gov/,"3,412,120",5.52%,"12,308",0,0,"12,308",,"3,211,515",71.87%,67.65%
Pennsylvania,PA,7075000,https://www.electionreturns.pa.gov/,"10,350,349",3.94%,"38,657",0,0,"38,657",,"9,903,829",71.44%,68.36%
Rhode Island,RI,523402,https://elections.ri.gov/elections/previous-election-results,"897,523",7.76%,"1,339",0,0,"1,339",,"826,559",63.32%,58.32%
South Carolina,SC,2566404,https://scvotes.gov/wp-content/uploads/2025/05/Absentee-Voting-History-1998-2024.pdf,"4,337,447",3.90%,"15,909","26,950","3,280","46,139",,"4,121,955",62.26%,59.17%
South Dakota,SD,436478,https://electionresults.sd.gov/,"709,340",2.87%,"3,650","5,350","3,390","12,390",,"676,581",64.51%,61.53%
Tennessee,TN,3080000,https://www.elections.tn.gov/categories/president/offices,"5,651,068",4.21%,"23,902","59,200","12,260","95,362",,"5,317,723",57.92%,54.50%
Texas,TX,11400000,https://results.texas-election.com/races,"23,513,616",12.63%,"138,721","248,830","98,230","485,781",,"20,059,077",56.83%,48.48%
Utah,UT,1525885,https://electionresults.utah.gov/results/public/utah/elections/general11052024,"2,545,169",7.11%,"6,221",0,0,"6,221",,"2,357,958",64.71%,59.95%
Vermont,VT,372885,https://outside.vermont.gov/dept/sos/Elections%20Division/election%20info%20and%20resources/elections%20results%20and%20data/2024%20General%20Election%20Canvass%20Report%20-%20FULL.pdf,"535,384",1.55%,0,0,0,0,,"527,067",70.75%,69.65%
Virginia,VA,4537976,https://enr.elections.virginia.gov/results/public/Virginia/elections/2024NovemberGeneral,"6,891,962",6.58%,"26,200","60,380","1,580","88,160",,"6,350,428",71.46%,65.84%
Washington,WA,3961569,https://results.vote.wa.gov/results/20241105/turnout.html,"6,226,585",9.19%,"13,600",0,0,"13,600",,"5,640,909",70.23%,63.62%
West Virginia,WV,770587,https://results.enr.clarityelections.com/WV/122766/web.345435/#/summary,"1,416,183",1.10%,"5,791","3,810","4,020","13,621",,"1,387,010",55.56%,54.41%
Wisconsin,WI,3437142,https://elections.wi.gov/,"4,704,055",3.29%,"20,057","23,440","22,010","65,507",,"4,483,698",76.66%,73.07%
Wyoming,WY,271123,https://sos.wyo.gov/Elections/Docs/2024/2024GeneralResults.aspx,"459,772",2.38%,"2,187","3,030",830,"6,047",,"442,780",61.23%,58.97%
